"","province","district","variable","value"
"1","BatdÃ¢mbÃ¢ng","Aek Phnum","NL_VIIRS.M_201204_SUM",633.540000511333
"2","Rôtânôkiri","Andoung Meas","NL_VIIRS.M_201204_SUM",677.489999264479
"3","Kândal","Angk Snuol","NL_VIIRS.M_201204_SUM",913.920000649989
"4","Takêv","Angkor Borei","NL_VIIRS.M_201204_SUM",19.8300000745803
"5","Kâmpôt","Angkor Chey","NL_VIIRS.M_201204_SUM",42.1099997162819
"6","Siemréab","Angkor Chum","NL_VIIRS.M_201204_SUM",280.089999614284
"7","Siemréab","Angkor Thum","NL_VIIRS.M_201204_SUM",211.620000327006
"8","Otdar Mean Chey","Anlong Veaeng","NL_VIIRS.M_201204_SUM",1102.00999874249
"9","Kâmpóng Spœ","Aoral","NL_VIIRS.M_201204_SUM",309.289999183267
"10","Prey Vêng","Ba Phnum","NL_VIIRS.M_201204_SUM",58.8499999288469
"11","Pouthisat","Bakan","NL_VIIRS.M_201204_SUM",760.410000894219
"12","Rôtânôkiri","Ban Lung","NL_VIIRS.M_201204_SUM",226.040000595152
"13","BatdÃ¢mbÃ¢ng","Banan","NL_VIIRS.M_201204_SUM",554.009999867529
"14","Otdar Mean Chey","Banteay Ampil","NL_VIIRS.M_201204_SUM",836.83000093326
"15","Kâmpôt","Banteay Meas","NL_VIIRS.M_201204_SUM",22.0999999139458
"16","Siemréab","Banteay Srei","NL_VIIRS.M_201204_SUM",343.779999604449
"17","Rôtânôkiri","Bar Kaev","NL_VIIRS.M_201204_SUM",395.890002051369
"18","Kâmpóng Thum","Baray","NL_VIIRS.M_201204_SUM",497.950000599027
"19","Kâmpóng Chhnang","Baribour","NL_VIIRS.M_201204_SUM",86.3399997856468
"20","Kâmpóng Spœ","Basedth","NL_VIIRS.M_201204_SUM",80.2399998176843
"21","BatdÃ¢mbÃ¢ng","Bat Dambang","NL_VIIRS.M_201204_SUM",602.540000623092
"22","Kâmpóng Cham","Batheay","NL_VIIRS.M_201204_SUM",336.74000075087
"23","Takêv","Bati","NL_VIIRS.M_201204_SUM",111.450000206009
"24","BatdÃ¢mbÃ¢ng","Bavel","NL_VIIRS.M_201204_SUM",660.000000638888
"25","Kaôh Kong","Botum Sakor","NL_VIIRS.M_201204_SUM",424.039999516681
"26","Takêv","Bourei Cholsar","NL_VIIRS.M_201204_SUM",8.23000000044704
