"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"1","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.1_1","Malai",NA,NA,"Srok","District",NA,"KH.OM.ML"
"2","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.2_1","Mongkol Borei",NA,NA,"Srok","District",NA,"KH.OM.MB"
"3","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.3_1","Ou Chrov",NA,NA,"Srok","District",NA,"KH.OM.OC"
"4","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.4_1","Phnum Srok",NA,NA,"Srok","District",NA,"KH.OM.PS"
"5","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.5_1","Preah Netr Preah",NA,NA,"Srok","District",NA,"KH.OM.PN"
"6","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.6_1","Serei Saophoan",NA,NA,"Srok","District",NA,"KH.OM.SS"
"7","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.7_1","Svay Chek",NA,NA,"Srok","District",NA,"KH.OM.SC"
"8","KHM","Cambodia","KHM.1_1","Bântéay Méanchey",NA,"KHM.1.8_1","Thma Puok",NA,NA,"Srok","District",NA,"KH.OM.TP"
"58","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.1_1","Aek Phnum",NA,NA,"Srok","District",NA,"KH.BA.AP"
"60","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.2_1","Banan",NA,NA,"Srok","District",NA,"KH.BA.BN"
"61","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.3_1","Bat Dambang","Batdambang",NA,"Srok","District",NA,"KH.BA.BD"
"62","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.4_1","Bavel",NA,NA,"Srok","District",NA,"KH.BA.BV"
"63","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.5_1","Moung Ruessei",NA,NA,"Srok","District",NA,"KH.BA.MR"
"64","KHM","Cambodia","KHM.2_1","Batdâmbâng",NA,"KHM.2.6_1","Phnum Proek",NA,NA,"Srok","District",NA,"KH.BA.PP"
